energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'90'	'95'	'100'
3.187660668380463	0.34887	0.27496	0.24086	0.22367	0.22309	0.21136	0.17297	0.15428	0.17058	0.17633	0.17322	0.16855	0.13871	0.14627
3.179487179487179	0.3519	0.27732	0.24324	0.22536	0.22516	0.21479	0.17538	0.15735	0.17167	0.17814	0.17725	0.17015	0.1405	0.14608
3.171355498721228	0.35668	0.27967	0.2461	0.22868	0.22712	0.21853	0.17831	0.15921	0.17468	0.18072	0.17884	0.17278	0.14299	0.1496
3.163265306122449	0.35736	0.28242	0.24879	0.2288	0.22739	0.21806	0.17849	0.15819	0.17675	0.18199	0.17851	0.17365	0.14443	0.15149
3.155216284987278	0.36059	0.28188	0.24985	0.23105	0.22943	0.22114	0.18022	0.15992	0.17751	0.18545	0.18005	0.17633	0.14741	0.15475
3.147208121827411	0.3643	0.286	0.25253	0.23454	0.23113	0.22247	0.18294	0.16392	0.18002	0.18712	0.1836	0.17964	0.14965	0.15442
3.139240506329114	0.36657	0.28612	0.25352	0.23577	0.23508	0.22377	0.18321	0.1651	0.18096	0.18892	0.1847	0.18052	0.1492	0.15775
3.131313131313131	0.3663	0.28973	0.25626	0.23892	0.23755	0.22823	0.18546	0.16604	0.18457	0.1916	0.18831	0.18307	0.15291	0.15921
3.123425692695214	0.36954	0.29073	0.25603	0.23835	0.23757	0.22739	0.18534	0.16696	0.18388	0.19216	0.18871	0.18355	0.1529	0.16082
3.115577889447236	0.36923	0.29115	0.25692	0.23885	0.23786	0.22991	0.18617	0.16765	0.18591	0.1927	0.19041	0.18427	0.15419	0.16307
3.107769423558897	0.37196	0.29542	0.26074	0.24249	0.24016	0.23086	0.18986	0.17112	0.1892	0.19566	0.1949	0.18877	0.15829	0.16458
3.1	0.37102	0.29402	0.26058	0.24384	0.24086	0.23102	0.18954	0.17214	0.19001	0.19705	0.19424	0.18973	0.16106	0.16637
3.092269326683292	0.37454	0.29574	0.2613	0.24367	0.24299	0.23345	0.19135	0.17451	0.19141	0.20087	0.19718	0.19328	0.16158	0.16829
3.084577114427861	0.37264	0.29424	0.26126	0.24493	0.2433	0.23305	0.19048	0.1722	0.19039	0.19965	0.19665	0.19365	0.16149	0.16991
3.076923076923077	0.37332	0.29487	0.26147	0.24173	0.23989	0.23168	0.18952	0.17361	0.192	0.20003	0.1985	0.19503	0.16162	0.17006
3.069306930693069	0.3722	0.29676	0.26191	0.24459	0.2433	0.23437	0.19314	0.17407	0.194	0.2013	0.20153	0.19854	0.16652	0.17344
3.061728395061728	0.37017	0.29517	0.26213	0.24502	0.24256	0.23317	0.19399	0.17392	0.19504	0.20127	0.2015	0.19805	0.1665	0.17628
3.054187192118226	0.37054	0.29584	0.2631	0.24633	0.24502	0.23655	0.19537	0.17732	0.19665	0.20462	0.20272	0.2022	0.17	0.17925
3.046683046683047	0.37129	0.29585	0.26237	0.24643	0.24431	0.23723	0.19426	0.17757	0.19799	0.20735	0.20301	0.20332	0.17329	0.17953
3.03921568627451	0.37041	0.29476	0.2641	0.24656	0.24511	0.23745	0.19601	0.18063	0.19858	0.20761	0.20804	0.2071	0.17495	0.18136
3.031784841075795	0.36997	0.29552	0.26303	0.24569	0.24491	0.23765	0.19647	0.17957	0.20037	0.2097	0.20855	0.20754	0.17735	0.18489
3.024390243902439	0.36811	0.29525	0.26293	0.24533	0.24371	0.23747	0.19618	0.18016	0.20044	0.20982	0.21014	0.20957	0.17791	0.18741
3.017031630170316	0.36455	0.29399	0.26285	0.24437	0.24362	0.23644	0.19612	0.18024	0.20151	0.20988	0.21092	0.21099	0.1778	0.18888
3.009708737864078	0.36384	0.29247	0.2623	0.24238	0.24301	0.23563	0.19672	0.1794	0.20105	0.21025	0.21156	0.21195	0.17986	0.19217
3.002421307506053	0.36021	0.29229	0.26191	0.24432	0.2451	0.2376	0.19957	0.18209	0.20472	0.21389	0.21483	0.21622	0.18376	0.19472
2.995169082125604	0.35928	0.29005	0.26059	0.24194	0.24386	0.23638	0.1978	0.17979	0.20439	0.21253	0.21603	0.21551	0.18495	0.19724
2.987951807228916	0.35885	0.29106	0.26105	0.24337	0.24218	0.23828	0.19924	0.18326	0.20649	0.2152	0.21825	0.22085	0.189	0.19971
2.980769230769231	0.35422	0.28794	0.25906	0.24195	0.24155	0.2366	0.19947	0.18221	0.2054	0.21551	0.21764	0.22208	0.19025	0.20207
2.973621103117506	0.35184	0.28549	0.25795	0.24106	0.24052	0.23546	0.19825	0.18086	0.20603	0.21568	0.21797	0.22199	0.19161	0.20372
2.966507177033493	0.34941	0.28486	0.25703	0.23889	0.24145	0.23629	0.1995	0.18255	0.20828	0.21731	0.22125	0.22553	0.19472	0.2085
2.959427207637232	0.34665	0.28253	0.25679	0.23862	0.23951	0.23437	0.19844	0.1828	0.20674	0.21797	0.22336	0.22685	0.19663	0.20958
2.952380952380953	0.3428	0.2816	0.25412	0.23786	0.23843	0.23349	0.1993	0.18301	0.20899	0.21901	0.22451	0.22908	0.19771	0.21238
2.945368171021378	0.33968	0.27866	0.25384	0.2348	0.23691	0.23243	0.19817	0.18431	0.20876	0.22079	0.22443	0.23201	0.19943	0.21396
2.938388625592417	0.33503	0.27697	0.25357	0.23512	0.23737	0.23327	0.19928	0.18501	0.20951	0.22155	0.22601	0.2351	0.2037	0.21736
2.93144208037825	0.33247	0.27501	0.251	0.23347	0.23521	0.23091	0.19788	0.18469	0.21069	0.22138	0.22789	0.23679	0.20565	0.2213
2.924528301886792	0.32755	0.27143	0.24784	0.23062	0.23374	0.22977	0.19687	0.18444	0.21017	0.22213	0.22862	0.23838	0.20649	0.22211
2.917647058823529	0.32386	0.26712	0.24685	0.2289	0.23015	0.2281	0.19645	0.18464	0.21093	0.2226	0.22945	0.23973	0.20923	0.22686
2.910798122065728	0.31823	0.26534	0.24436	0.22696	0.22904	0.22705	0.1949	0.18421	0.21174	0.22243	0.23088	0.2429	0.21165	0.22931
2.903981264637002	0.31254	0.26205	0.24104	0.22406	0.22592	0.22508	0.19403	0.18308	0.21015	0.22317	0.231	0.24402	0.21325	0.23037
2.897196261682243	0.30664	0.25774	0.23803	0.22072	0.22277	0.22206	0.19353	0.18146	0.20896	0.22184	0.23249	0.24482	0.21562	0.23512
2.89044289044289	0.30144	0.25315	0.23519	0.21842	0.22101	0.22028	0.19241	0.18142	0.21001	0.22254	0.23344	0.24648	0.21719	0.23784
2.883720930232558	0.29546	0.2498	0.2335	0.21725	0.21865	0.21883	0.19108	0.18266	0.21077	0.22274	0.23594	0.2506	0.22054	0.24112
2.877030162412993	0.28883	0.24492	0.22887	0.21276	0.21507	0.21598	0.19072	0.18188	0.21023	0.22374	0.23519	0.25189	0.22303	0.24401
2.87037037037037	0.28077	0.2396	0.22598	0.20909	0.21257	0.21354	0.1888	0.18071	0.20945	0.22411	0.23713	0.25452	0.22713	0.24754
2.863741339491917	0.27481	0.23578	0.22214	0.20488	0.20926	0.21137	0.18874	0.18088	0.21021	0.22421	0.23967	0.25857	0.22908	0.2516
2.857142857142857	0.2667	0.22991	0.21726	0.20091	0.20549	0.20763	0.18658	0.17954	0.20992	0.22433	0.23932	0.2591	0.23027	0.25522
2.850574712643678	0.25837	0.22396	0.21407	0.19793	0.20134	0.2043	0.18432	0.17809	0.2105	0.22315	0.24179	0.26128	0.23433	0.25805
