energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'85'	'90'	'95'	'100'
3.204134366925065	0.18681	0.19153	0.19665	0.19058	0.18723	0.18706	0.23212	0.24272	0.18882	0.17031	0.16135	0.16505	0.14894	0.15193	0.14194
3.195876288659794	0.18412	0.18793	0.19522	0.18814	0.18536	0.18615	0.23139	0.23899	0.18896	0.17097	0.16097	0.16599	0.14974	0.15177	0.14725
3.187660668380463	0.18337	0.18624	0.19344	0.18684	0.18566	0.18483	0.23097	0.23907	0.18928	0.17167	0.16131	0.16573	0.15026	0.15447	0.14627
3.179487179487179	0.18365	0.18559	0.19169	0.18558	0.18348	0.18348	0.22955	0.2379	0.19102	0.1703	0.16108	0.16574	0.1514	0.15388	0.14608
3.171355498721228	0.18134	0.18484	0.19189	0.18635	0.18359	0.18503	0.23078	0.23847	0.19227	0.17292	0.16386	0.16777	0.15512	0.15835	0.1496
3.163265306122449	0.17542	0.18186	0.18698	0.18194	0.18094	0.18263	0.22719	0.23757	0.19006	0.17159	0.16194	0.16888	0.15328	0.15817	0.15149
3.155216284987278	0.17482	0.18043	0.18522	0.18008	0.17807	0.18058	0.22585	0.23385	0.19048	0.17084	0.16337	0.16894	0.15494	0.15922	0.15475
3.147208121827411	0.17329	0.17845	0.18327	0.17972	0.17962	0.17977	0.22421	0.23253	0.19232	0.17296	0.16567	0.16922	0.15647	0.16221	0.15442
3.139240506329114	0.17015	0.17535	0.18185	0.17629	0.17633	0.17822	0.22275	0.22936	0.19411	0.17302	0.16458	0.17191	0.15821	0.16293	0.15775
3.131313131313131	0.16855	0.1731	0.18024	0.17494	0.17536	0.17664	0.22136	0.23089	0.1947	0.17526	0.16733	0.17515	0.16012	0.16449	0.15921
3.123425692695214	0.16571	0.16909	0.17692	0.17221	0.17176	0.17338	0.21821	0.22698	0.19568	0.17175	0.16545	0.17351	0.16058	0.16494	0.16082
3.115577889447236	0.16267	0.16627	0.17385	0.16899	0.16881	0.17222	0.21602	0.22505	0.19485	0.1717	0.16602	0.1722	0.16215	0.16768	0.16307
3.107769423558897	0.16057	0.16451	0.17274	0.16876	0.16884	0.17315	0.21528	0.2233	0.19507	0.17442	0.16887	0.175	0.16545	0.17056	0.16458
3.1	0.15777	0.16271	0.16874	0.16599	0.16578	0.16991	0.2115	0.22318	0.19475	0.1737	0.16888	0.17616	0.16658	0.17246	0.16637
3.092269326683292	0.15626	0.16152	0.16656	0.16589	0.16444	0.17052	0.21098	0.22145	0.19777	0.17489	0.17147	0.17876	0.16774	0.17452	0.16829
3.084577114427861	0.15381	0.15773	0.16241	0.15996	0.16092	0.16512	0.20703	0.21988	0.19813	0.1745	0.17026	0.17798	0.16803	0.17396	0.16991
3.076923076923077	0.15021	0.15408	0.15989	0.15934	0.16059	0.1638	0.20487	0.21602	0.19602	0.17374	0.16894	0.17942	0.1681	0.17599	0.17006
3.069306930693069	0.14866	0.15161	0.15997	0.15701	0.15929	0.16283	0.20587	0.21706	0.19957	0.17482	0.17142	0.18019	0.17155	0.17687	0.17344
3.061728395061728	0.14498	0.14878	0.15743	0.15595	0.1564	0.16051	0.20431	0.21495	0.19928	0.17399	0.17082	0.18041	0.1706	0.17904	0.17628
3.054187192118226	0.14388	0.14847	0.15643	0.15442	0.15719	0.16248	0.20515	0.21683	0.20186	0.17664	0.17323	0.18165	0.17416	0.18331	0.17925
3.046683046683047	0.14216	0.14836	0.15468	0.15261	0.15477	0.16114	0.20293	0.21472	0.20128	0.17689	0.17656	0.18499	0.17441	0.18482	0.17953
3.03921568627451	0.14247	0.14762	0.15368	0.15393	0.15413	0.16177	0.20386	0.21637	0.20286	0.17872	0.17685	0.18671	0.17849	0.18774	0.18136
3.031784841075795	0.14023	0.14585	0.15183	0.15269	0.15307	0.16076	0.20259	0.21541	0.20459	0.17883	0.17841	0.18964	0.18042	0.18896	0.18489
3.024390243902439	0.14003	0.14499	0.15019	0.15039	0.15357	0.15921	0.2029	0.21773	0.20623	0.17999	0.17895	0.18966	0.1818	0.18997	0.18741
3.017031630170316	0.13712	0.14142	0.15017	0.15006	0.15272	0.1585	0.20247	0.21692	0.20797	0.18098	0.17905	0.18917	0.18232	0.19094	0.18888
